Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions,,,period,strictly
0,1,11210654185,11247287111,36632926,11258302055,48000000,-,,,,
0,2,11210897555,11224396129,13498574,11224737074,14000000,-,,,,
0,3,11211130222,11238288444,27158222,11242916611,32000000,-,,,,
1,1,11310741555,11346106500,35364945,11266345407,48000000,-,,,,
1,2,11260917203,11274015370,13098167,11227281629,14000000,-,,,,
1,3,11311148555,11338287962,27139407,11255178888,32000000,-,,,,
2,1,11410738370,11446095277,35356907,11366006592,48000000,-,,,99996815,-3185
2,2,11310921870,11324053740,13131870,11276932555,14000000,-,,,,
2,3,11411156277,11438296925,27140648,11355174425,32000000,-,,,,
3,1,11510742111,11546104425,35362314,11465998537,48000000,-,,,200000556,556
3,2,11360916870,11374015870,13099000,11326946574,14000000,-,,,,
3,3,11511149000,11538292759,27143759,11455181814,32000000,-,,,,
4,1,11610744425,11646106166,35361741,11566003259,48000000,-,,,300002870,2870
4,2,11410915481,11424045259,13129778,11376931185,14000000,-,,,,
4,3,11611151370,11638294888,27143518,11555175407,32000000,-,,,,
5,1,11710746851,11746103388,35356537,11666004722,48000000,-,,,400005296,5296
5,2,11460922574,11474025925,13103351,11426938962,14000000,-,,,,
5,3,11711150814,11738286166,27135352,11655176777,32000000,-,,,,
6,1,11810741703,11846104888,35363185,11766006666,48000000,-,,,500000148,148
6,2,11510919833,11524049814,13129981,11476937055,14000000,-,,,,
6,3,11811146351,11838286777,27140426,11755174777,32000000,-,,,,
7,1,11910737574,11946109944,35372370,11866002166,48000000,-,,,599996019,-3981
7,2,11560919370,11574022055,13102685,11526943611,14000000,-,,,,
7,3,11911152111,11938293962,27141851,11855171444,32000000,-,,,,
8,1,12010744351,12046105240,35360889,11966008685,48000000,-,,,700002796,2796
8,2,11610921740,11624051703,13129963,11576934203,14000000,-,,,,
8,3,12011148555,12038291203,27142648,11955178018,32000000,-,,,,
9,1,12110741370,12146102944,35361574,12066003925,48000000,-,,,799999815,-185
9,2,11660921703,11674022833,13101130,11626944703,14000000,-,,,,
9,3,12111146203,12138289018,27142815,12055173851,32000000,-,,,,
10,1,12210743314,12246105111,35361797,12166002129,48000000,-,,,900001759,1759
10,2,11710923925,11724052462,13128537,11676936037,14000000,-,,,,
10,3,12211147222,12238287092,27139870,12155171648,32000000,-,,,,
11,1,12310739907,12346098888,35358981,12266004833,48000000,-,,,999998352,-1648
11,2,11760916518,11774014592,13098074,11726947277,14000000,-,,,,
11,3,12311154814,12338290981,27136167,12255172870,32000000,-,,,,
12,1,12410737537,12446111537,35374000,12366001185,48000000,-,,,1099995982,-4018
12,2,11810919685,11824048759,13129074,11776930962,14000000,-,,,,
12,3,12411152592,12438292037,27139445,12355179537,32000000,-,,,,
13,1,12510738722,12546098000,35359278,12466011592,48000000,-,,,1199997167,-2833
13,2,11860918777,11874016740,13097963,11826943185,14000000,-,,,,
13,3,12511154148,12538294462,27140314,12455178185,32000000,-,,,,
14,1,12610739388,12646096962,35357574,12565999648,48000000,-,,,1299997833,-2167
14,2,11910925703,11924054981,13129278,11876930222,14000000,-,,,,
14,3,12611153925,12638292222,27138297,12555179240,32000000,-,,,,
15,1,12710746648,12746108185,35361537,12665998500,48000000,-,,,1400005093,5093
15,2,11960921481,11974023500,13102019,11926949611,14000000,-,,,,
15,3,12711150518,12738291796,27141278,12655179351,32000000,-,,,,
16,1,12810742129,12846101444,35359315,12766007240,48000000,-,,,1500000574,574
16,2,12010921592,12024050962,13129370,11976936185,14000000,-,,,,
16,3,12811156796,12838297388,27140592,12755176148,32000000,-,,,,
17,1,12910740722,12946096370,35355648,12866002888,48000000,-,,,1599999167,-833
17,2,12060918148,12074019833,13101685,12026945111,14000000,-,,,,
17,3,12911155425,12938295666,27140241,12855182166,32000000,-,,,,
18,1,13010739407,13046098351,35358944,12966000185,48000000,-,,,1699997852,-2148
18,2,12110919018,12124048814,13129796,12076930129,14000000,-,,,,
18,3,13011155000,13038293259,27138259,12955180740,32000000,-,,,,
19,1,13110739148,13146098259,35359111,13066000925,48000000,-,,,1799997593,-2407
19,2,12160915092,12174016518,13101426,12126943444,14000000,-,,,,
19,3,13111154055,13138290314,27136259,13055179759,32000000,-,,,,
20,1,13210746277,13246105037,35358760,13166000870,48000000,-,,,1900004722,4722
20,2,12210920629,12224050740,13130111,12176929814,14000000,-,,,,
20,3,13211150796,13238291388,27140592,13155178777,32000000,-,,,,
21,1,13310738777,13346098259,35359482,13266005574,48000000,-,,,1999997222,-2778
21,2,12260917537,12274017333,13099796,12226944759,14000000,-,,,,
21,3,13311153611,13338296370,27142759,13255176129,32000000,-,,,,
22,1,13410740129,13446099462,35359333,13366000370,48000000,-,,,2099998574,-1426
22,2,12310917277,12324048129,13130852,12276932055,14000000,-,,,,
22,3,13411155611,13438295777,27140166,13355179129,32000000,-,,,,
23,1,13510742222,13546103703,35361481,13466001611,48000000,-,,,2200000667,667
23,2,12360925444,12374021296,13095852,12326941277,14000000,-,,,,
23,3,13511146722,13538285240,27138518,13455180740,32000000,-,,,,
24,1,13610743407,13646102777,35359370,13566003351,48000000,-,,,2300001852,1852
24,2,12410925629,12424057888,13132259,12376940370,14000000,-,,,,
24,3,13611147203,13638286574,27139371,13555171574,32000000,-,,,,
25,1,13710737129,13746109296,35372167,13663986666,48000000,-,,,2399995574,-4426
25,2,12460924425,12474022759,13098334,12426952185,14000000,-,,,,
25,3,13711151518,13738292148,27140630,13655172333,32000000,-,,,,
26,1,13810741444,13846106648,35365204,13766008666,48000000,-,,,2499999889,-111
26,2,12510915907,12524046333,13130426,12476936851,14000000,-,,,,
26,3,13811148333,13838289388,27141055,13755176648,32000000,-,,,,
27,1,13910740407,13946104518,35364111,13866005962,48000000,-,,,2599998852,-1148
27,2,12560919425,12574017000,13097575,12526940611,14000000,-,,,,
27,3,13911147481,13938289185,27141704,13855173370,32000000,-,,,,
28,1,14010737370,14046109092,35371722,13966003444,48000000,-,,,2699995815,-4185
28,2,12610916333,12624044462,13128129,12576933944,14000000,-,,,,
28,3,14011154611,14038295259,27140648,13955173166,32000000,-,,,,
29,1,14110739037,14146103203,35364166,14063992777,48000000,-,,,2799997482,-2518
29,2,12660916574,12674017629,13101055,12626939796,14000000,-,,,,
29,3,14111146518,14138288314,27141796,14055180000,32000000,-,,,,
30,1,14210742166,14246105796,35363630,14166001925,48000000,-,,,2900000611,611
30,2,12710923944,12724053222,13129278,12676930981,14000000,-,,,,
30,3,14211149314,14238289111,27139797,14155172388,32000000,-,,,,
31,1,14310741888,14346100555,35358667,14266003425,48000000,-,,,3000000333,333
31,2,12760920611,12774017259,13096648,12726947981,14000000,-,,,,
31,3,14311157129,14338291981,27134852,14255174481,32000000,-,,,,
32,1,14410740870,14446099240,35358370,14366002574,48000000,-,,,3099999315,-685
32,2,12810919314,12824049259,13129945,12776932833,14000000,-,,,,
32,3,14411156111,14438294185,27138074,14355181111,32000000,-,,,,
33,1,14510737148,14546112907,35375759,14466000481,48000000,-,,,3199995593,-4407
33,2,12860921277,12874024037,13102760,12826943555,14000000,-,,,,
33,3,14511152185,14538291870,27139685,14455181259,32000000,-,,,,
34,1,14610743370,14646101222,35357852,14566012314,48000000,-,,,3300001815,1815
34,2,12910918055,12924046462,13128407,12876935796,14000000,-,,,,
34,3,14611146944,14638287259,27140315,14555177203,32000000,-,,,,
35,1,14710743518,14746103407,35359889,14666002537,48000000,-,,,3400001963,1963
35,2,12960920574,12974021092,13100518,12926941333,14000000,-,,,,
35,3,14711147444,14738286037,27138593,14655172240,32000000,-,,,,
36,1,14810743629,14846104111,35360482,14766003129,48000000,-,,,3500002074,2074
36,2,13010917222,13024047462,13130240,12976935092,14000000,-,,,,
36,3,14811147481,14838291259,27143778,14755173425,32000000,-,,,,
37,1,14910741092,14946102944,35361852,14866004870,48000000,-,,,3599999537,-463
37,2,13060924370,13074022925,13098555,13026941592,14000000,-,,,,
37,3,14911146388,14938285444,27139056,14855173129,32000000,-,,,,
38,1,15010744259,15046104092,35359833,14966002907,48000000,-,,,3700002704,2704
38,2,13110916462,13124046870,13130408,13076937500,14000000,-,,,,
38,3,15011147981,15038287444,27139463,14955171759,32000000,-,,,,
39,1,15110737370,15146108796,35371426,15066003814,48000000,-,,,3799995815,-4185
39,2,13160924574,13174021074,13096500,13126941333,14000000,-,,,,
