Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions
0,1,11210808240,11275522759,64714519,11295456148,85000000,-
0,2,11211009481,11289432907,78423426,11311886777,101000000,-
0,3,11211283648,11253438166,42154518,11274030277,63000000,-
1,1,11310891481,11375500129,64608648,11298433759,85000000,-
1,2,11311036555,11457466703,146430148,11356523629,101000000,-
1,3,11311306870,11353438018,42131148,11278365500,63000000,-
2,1,11410894333,11469484703,58590370,11397937981,85000000,-
2,2,11411032425,11559467425,148435000,11512029222,101000000,-
2,3,11411309537,11453434444,42124907,11378359592,63000000,-
3,1,11510885481,11569547703,58662222,11498951092,85000000,-
3,2,11511034370,11659464388,148430018,11570490166,101000000,-
3,3,11511311296,11553438240,42126944,11478366722,63000000,-
4,1,11610892870,11669545351,58652481,11598942074,85000000,-
4,2,11611031055,11759447537,148416482,11650555166,101000000,-
4,3,11611308370,11653434925,42126555,11578355611,63000000,-
5,1,11710890851,11773439648,62548797,11698944166,85000000,-
5,2,11711028555,11860560592,149532037,11750549944,101000000,-
5,3,11711305518,11753433592,42128074,11678352703,63000000,-
6,1,11810887222,11876494000,65606778,11798941833,85000000,-
6,2,11811036055,11964543037,153506982,11852451537,101000000,-
6,3,11811301740,11853426555,42124815,11778350185,63000000,-
7,1,11910892722,11978535962,67643240,11898940981,85000000,-
7,2,11911030555,12059552574,148522019,11955551314,101000000,-
7,3,11911307629,11953435037,42127408,11878345555,63000000,-
8,1,12010886500,12073596388,62709888,11998949111,85000000,-
8,2,12011035259,12160551851,149516592,12054541370,101000000,-
8,3,12011301148,12053428388,42127240,11978351870,63000000,-
9,1,12110888870,12176482351,65593481,12098943759,85000000,-
9,2,12111037722,12264541462,153503740,12154543333,101000000,-
9,3,12111303537,12153427037,42123500,12078345648,63000000,-
10,1,12210893611,12278534314,67640703,12198942537,85000000,-
10,2,12211031333,12360464648,149433315,12255542370,101000000,-
10,3,12211308592,12253432648,42124056,12178347074,63000000,-
11,1,12310889185,12378518351,67629166,12298948018,85000000,-
11,2,12311038111,12479555055,168516944,12354502462,101000000,-
11,3,12311303407,12353425925,42122518,12278353240,63000000,-
12,1,12410895018,12473529666,62634648,12398945574,85000000,-
12,2,12411033240,12560547777,149514537,12455455444,101000000,-
12,3,12411309796,12453434777,42124981,12378347462,63000000,-
13,1,12510891370,12576487981,65596611,12498950981,85000000,-
13,2,12511029000,12664544240,153515240,12552453055,101000000,-
13,3,12511305611,12553429277,42123666,12478353888,63000000,-
14,1,12610892888,12678537000,67644112,12598947574,85000000,-
14,2,12611030648,12762465981,151435333,12655536870,101000000,-
14,3,12611307703,12653431129,42123426,12578348148,63000000,-
15,1,12710892333,12778522814,67630481,12698947462,85000000,-
15,2,12711030148,12859670777,148640629,12754542296,101000000,-
15,3,12711306111,12753432481,42126370,12678351833,63000000,-
16,1,12810894888,12873659611,62764723,12798945203,85000000,-
16,2,12811032740,12959454388,148421648,12857456925,101000000,-
16,3,12811309759,12853436148,42126389,12778350759,63000000,-
17,1,12910888481,12970605851,59717370,12898951351,85000000,-
17,2,12911037222,13059460425,148423203,12954660462,101000000,-
17,3,12911303055,12953425759,42122704,12878354407,63000000,-
18,1,13010892629,13069534944,58642315,12998937111,85000000,-
18,2,13011030240,13159451370,148421130,13051613518,101000000,-
18,3,13011307462,13053432407,42124945,12978346777,63000000,-
19,1,13110886518,13169538166,58651648,13098949166,85000000,-
19,2,13111035333,13275476333,164441000,13150542648,101000000,-
19,3,13111301333,13153423703,42122370,13078351407,63000000,-
20,1,13210885981,13269461370,58575389,13198930055,85000000,-
20,2,13211034555,13375545166,164510611,13250544092,101000000,-
20,3,13211311203,13253434629,42123426,13178344796,63000000,-
21,1,13310885851,13369530111,58644260,13298937055,85000000,-
21,2,13311034518,13459450018,148415500,13412031370,101000000,-
21,3,13311300574,13353424833,42124259,13278354944,63000000,-
22,1,13410887055,13469595037,58707982,13398941703,85000000,-
22,2,13411035907,13575468185,164432278,13512032722,101000000,-
22,3,13411301851,13453422259,42120408,13378344481,63000000,-
23,1,13510887333,13569453111,58565778,13498943574,85000000,-
23,2,13511035907,13659458037,148422130,13550602444,101000000,-
23,3,13511301648,13553426111,42124463,13478344481,63000000,-
24,1,13610892888,13669514574,58621686,13598943000,85000000,-
24,2,13611030629,13759450259,148419630,13712027444,101000000,-
24,3,13611307870,13653429666,42121796,13578346000,63000000,-
25,1,13710895259,13773443240,62547981,13698949092,85000000,-
25,2,13711032870,13860568259,149535389,13750524333,101000000,-
25,3,13711310000,13753434925,42124925,13678351777,63000000,-
26,1,13810893851,13876498481,65604630,13798951074,85000000,-
26,2,13811031555,13962462740,151431185,13852453833,101000000,-
26,3,13811308444,13853430740,42122296,13778354555,63000000,-
27,1,13910892203,13978534611,67642408,13898949759,85000000,-
27,2,13911030037,14059552222,148522185,13955559018,101000000,-
27,3,13911306296,13953429314,42123018,13878352759,63000000,-
28,1,14010886092,14073593444,62707352,13998936500,85000000,-
28,2,14011034888,14160566851,149531963,14057453481,101000000,-
28,3,14011300833,14053425500,42124667,13978350092,63000000,-
29,1,14110894722,14176498592,65603870,14098943055,85000000,-
29,2,14111032500,14279552537,168520037,14154542925,101000000,-
29,3,14111309537,14153431240,42121703,14078345185,63000000,-
30,1,14210885685,14273527722,62642037,14198948129,85000000,-
30,2,14211034629,14360562648,149528019,14255557666,101000000,-
30,3,14211300351,14253426851,42126500,14178353055,63000000,-
31,1,14310891333,14376492000,65600667,14298942055,85000000,-
31,2,14311029055,14464544888,153515833,14352445129,101000000,-
31,3,14311305981,14353427462,42121481,14278344111,63000000,-
32,1,14410890648,14478537111,67646463,14398947314,85000000,-
32,2,14411028407,14564524574,153496167,14455553148,101000000,-
32,3,14411305000,14453430203,42125203,14378348425,63000000,-
