Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline
0,1,11210714962,11267951925,57236963,11295366055,85000000
0,2,11210933018,11260097074,49164056,11268797407,58000000
0,3,11211072444,11355088222,144015778,11311950351,101000000
1,1,11310796407,11367919907,57123500,11297850574,85000000
1,2,11260952962,11310073148,49120186,11272988888,58000000
1,3,11311099407,11467991018,156891611,11348959851,101000000
2,1,11410805685,11467979351,57173666,11397828944,85000000
2,2,11310956462,11360083388,49126926,11322976203,58000000
2,3,11411097351,11557083129,145985778,11465994148,101000000
3,1,11510803851,11574088037,63284186,11498857851,85000000
3,2,11360952537,11410068851,49116314,11372980888,58000000
3,3,11511095981,11661071981,149976000,11561078333,101000000
4,1,11610804444,11680192259,69387815,11598843611,85000000
4,2,11410954759,11460072962,49118203,11422975388,58000000
4,3,11611096018,11775017129,163921111,11659083185,101000000
5,1,11710800870,11779175092,68374222,11698856444,85000000
5,2,11460960185,11510080666,49120481,11472981425,58000000
5,3,11711092148,11875013907,163921759,11761193648,101000000
6,1,11810798425,11879169759,68371334,11798852592,85000000
6,2,11510953500,11560072055,49118555,11522984574,58000000
6,3,11811089981,11975016833,163926852,11861086240,101000000
7,1,11910800462,11979172333,68371871,11898838740,85000000
7,2,11560952629,11610068000,49115371,11572977481,58000000
7,3,11911092314,12075019925,163927611,11961084000,101000000
8,1,12010802888,12079169296,68366408,11998840185,85000000
8,2,11610953407,11660084703,49131296,11622974888,58000000
8,3,12011094148,12161064148,149970000,12061074370,101000000
9,1,12110805518,12179172166,68366648,12098854333,85000000
9,2,11660952481,11710065166,49112685,11672979407,58000000
9,3,12111096759,12261069166,149972407,12161078870,101000000
10,1,12210799592,12279174277,68374685,12198856962,85000000
10,2,11710949759,11760080703,49130944,11722977037,58000000
10,3,12211090851,12375018888,163928037,12260175074,101000000
11,1,12310801240,12379175907,68374667,12298851500,85000000
11,2,11760955092,11810075611,49120519,11772975814,58000000
11,3,12311092722,12475014425,163921703,12360178166,101000000
12,1,12410799018,12479165537,68366519,12398853055,85000000
12,2,11810958555,11860078388,49119833,11822977537,58000000
12,3,12411090222,12575020296,163930074,12461076074,101000000
13,1,12510801648,12579170462,68368814,12498838388,85000000
13,2,11860952685,11910064333,49111648,11872982240,58000000
13,3,12511093074,12675017351,163924277,12561084203,101000000
14,1,12610803981,12679173685,68369704,12598853425,85000000
14,2,11910949888,11960068759,49118871,11922975370,58000000
14,3,12611095611,12775013000,163917389,12661075981,101000000
15,1,12710797759,12779166166,68368407,12698855481,85000000
15,2,11960955092,12010066611,49111519,11972973185,58000000
15,3,12711088666,12861069074,149980408,12761075833,101000000
16,1,12810799129,12879170537,68371408,12798836685,85000000
16,2,12010951685,12060073203,49121518,12022977462,58000000
16,3,12811090166,12975013444,163923278,12861082740,101000000
17,1,12910797814,12979174222,68376408,12898851148,85000000
